id_produto,produto
1,PlayStation 5 Console
2,Xbox Series X Console
3,Nintendo Switch OLED
4,DualSense Wireless Controller
5,Xbox Wireless Controller
6,Nintendo Switch Pro Controller
7,EA Sports FC 26 PS5
8,Call of Duty: Black Ops 7
9,Grand Theft Auto VI
10,The Legend of Zelda: Tears of the Kingdom
11,Mario Kart 8 Deluxe
12,God of War Ragnarok
13,Gaming Headset HyperX Cloud III
14,Razer DeathAdder V3 Mouse
15,Mechanical Gaming Keyboard
16,PlayStation Plus Annual Subscription
17,Xbox Game Pass Ultimate
18,1TB NVMe SSD for PS5
19,Nintendo Switch Carrying Case
20,Gaming Chair Pro Series
