id_venda,data_venda,id_cliente,id_loja,id_status,id_produto,id_quantidade,vl_unitario
1,2025-11-24,8,1,3,8,4,74.07
2,2025-02-22,44,9,1,19,7,20.73
3,2025-02-17,14,4,1,18,4,359.43
4,2025-12-26,35,7,2,15,10,142.7
5,2025-01-04,49,3,4,11,5,81.96
6,2025-06-22,7,2,4,4,6,424.51
7,2025-11-06,17,1,4,18,2,486.69
8,2025-07-13,6,9,3,20,6,290.79
9,2025-12-27,5,1,2,10,2,428.38
10,2025-02-21,25,5,4,12,3,188.24
11,2025-04-18,43,5,1,20,3,269.4
12,2025-05-06,11,8,4,9,9,113.71
13,2025-06-16,50,1,2,2,6,203.58
14,2025-02-03,14,10,3,7,8,200.84
15,2025-11-26,30,3,3,5,4,373.77
16,2025-10-03,17,10,4,19,7,184.19
17,2025-03-12,33,8,1,2,2,80.66
18,2025-03-23,44,7,1,13,7,299.96
19,2025-08-28,34,5,1,4,9,376.68
20,2025-11-25,22,2,3,14,3,229.59
21,2025-05-15,33,3,1,10,9,306.44
22,2025-03-20,24,3,1,20,6,246.86
23,2025-02-27,24,5,2,2,4,439.61
24,2025-02-10,6,8,1,18,3,68.55
25,2025-09-01,36,3,3,17,10,214.45
26,2025-04-19,35,4,3,13,6,221.86
27,2025-09-22,29,2,2,8,2,172.35
28,2025-10-29,36,4,2,1,2,355.38
29,2025-01-31,15,2,1,11,2,259.51
30,2025-05-23,43,8,2,18,3,363.06
31,2025-10-20,37,8,2,16,7,99.25
32,2025-02-19,43,7,3,14,7,236.18
33,2025-01-28,44,2,1,13,6,401.29
34,2025-02-25,16,4,2,18,8,74.39
35,2025-04-04,18,8,2,3,8,404.97
36,2025-10-09,7,1,1,3,4,87.32
37,2025-09-06,31,4,4,2,3,192.59
38,2025-07-19,17,8,3,14,9,332.63
39,2025-09-07,10,4,3,7,1,291.69
40,2025-10-05,4,6,1,2,10,241.01
41,2025-09-29,11,1,1,6,2,299.54
42,2025-12-12,16,7,1,19,4,291.56
43,2025-01-21,40,2,4,19,10,263.78
44,2025-05-14,14,6,2,9,7,69.78
45,2025-11-27,20,8,3,3,1,231.85
46,2025-10-16,7,2,2,17,5,70.57
